,0
target_cal_doy_sin,621
target_cal_doy_cos,383
horizon,346
target_cal_hour_sin,274
power_rollmean720h,207
power_consumption,196
target_cal_dow_sin,176
power_rollstd720h,158
power_rollmean168h,141
power_rollmean336h,115
job_arrival_count_rollstd168h,107
avg_wait_time_sec_rollmean168h,107
target_cal_dow_cos,107
compute_bound_ratio_rollstd168h,94
power_rollstd336h,94
new_user_count_rollstd168h,91
power_rollstd168h,89
cal_doy_sin,81
avg_wait_time_sec_rollstd24h,78
power_rollstd72h,73
avg_wait_time_sec_rollstd168h,72
job_arrival_count_rollmean168h,66
cal_doy_cos,66
avg_requested_nodes_rollmean168h,64
avg_wait_time_sec_rollmean24h,64
new_user_count_z720h,64
compute_bound_ratio_rollmean168h,63
failure_rate_rollstd168h,59
power_lag0h,59
avg_requested_nodes_rollstd168h,58
