,0
target_cal_doy_sin,794
target_cal_doy_cos,505
horizon,486
target_cal_hour_sin,312
target_lag0h,273
target_rollmean720h,263
target_cal_dow_sin,202
target_rollstd720h,185
target_rollmean336h,157
target_rollmean168h,143
avg_wait_time_sec_rollmean168h,132
avg_requested_nodes_rollstd168h,129
target_cal_dow_cos,125
target_cal_hour_cos,116
compute_bound_ratio_rollmean168h,114
new_user_count_rollstd168h,109
target_rollstd336h,108
avg_wait_time_sec_rollstd24h,103
cal_doy_sin,99
job_arrival_count_rollstd168h,98
compute_bound_ratio_rollstd168h,96
failure_rate_rollstd168h,96
target_rollstd168h,92
target_rollmean72h,88
target_rollmean24h,87
failure_rate_rollmean168h,85
avg_requested_nodes_rollmean168h,83
new_user_count_z168h,80
target_rollstd72h,78
job_arrival_count_rollmean168h,72
