scenario,policy,q,r,horizon_bucket,regime,n,mean_cost
moderate (r=3),②TFT-lite,0.75,3,short_1-24h,stable,7244,2524326.824872428
moderate (r=3),②TFT-lite,0.75,3,short_1-24h,transition,2692,2731913.581280394
moderate (r=3),②TFT-lite,0.75,3,medium_48-168h,overall,2484,3287910.220466995
moderate (r=3),②TFT-lite,0.75,3,medium_48-168h,stable,1788,3107764.080699817
moderate (r=3),②TFT-lite,0.75,3,medium_48-168h,transition,696,3750699.441593022
moderate (r=3),③TFT-lite,0.75,3,overall,overall,12420,2745299.0285371672
moderate (r=3),③TFT-lite,0.75,3,overall,stable,9032,2661695.757237772
moderate (r=3),③TFT-lite,0.75,3,overall,transition,3388,2968175.2818949427
moderate (r=3),③TFT-lite,0.75,3,short_1-24h,overall,9936,2623406.840593621
moderate (r=3),③TFT-lite,0.75,3,short_1-24h,stable,7244,2558039.651285352
moderate (r=3),③TFT-lite,0.75,3,short_1-24h,transition,2692,2799305.77051528
moderate (r=3),③TFT-lite,0.75,3,medium_48-168h,overall,2484,3232867.7803113526
moderate (r=3),③TFT-lite,0.75,3,medium_48-168h,stable,1788,3081653.7167004836
moderate (r=3),③TFT-lite,0.75,3,medium_48-168h,transition,696,3621331.4954496184
high-stakes (r=9),static (no forecast),0.9,9,overall,overall,12602,4173974.021919718
high-stakes (r=9),static (no forecast),0.9,9,overall,stable,9214,4035203.241172234
high-stakes (r=9),static (no forecast),0.9,9,overall,transition,3388,4551374.840634981
high-stakes (r=9),static (no forecast),0.9,9,short_1-24h,overall,10103,4216287.188626732
high-stakes (r=9),static (no forecast),0.9,9,short_1-24h,stable,7411,4069244.1346744243
high-stakes (r=9),static (no forecast),0.9,9,short_1-24h,transition,2692,4621092.564867647
high-stakes (r=9),static (no forecast),0.9,9,medium_48-168h,overall,2499,4002909.626865312
high-stakes (r=9),static (no forecast),0.9,9,medium_48-168h,stable,1803,3895282.5191840297
high-stakes (r=9),static (no forecast),0.9,9,medium_48-168h,transition,696,4281719.504953463
high-stakes (r=9),seasonal-naive,0.9,9,overall,overall,12602,5297696.32464331
high-stakes (r=9),seasonal-naive,0.9,9,overall,stable,9214,5350222.009390652
high-stakes (r=9),seasonal-naive,0.9,9,overall,transition,3388,5154847.546820991
high-stakes (r=9),seasonal-naive,0.9,9,short_1-24h,overall,10103,5474078.406149126
high-stakes (r=9),seasonal-naive,0.9,9,short_1-24h,stable,7411,5546160.5160489315
high-stakes (r=9),seasonal-naive,0.9,9,short_1-24h,transition,2692,5275638.392602522
high-stakes (r=9),seasonal-naive,0.9,9,medium_48-168h,overall,2499,4584615.824662012
high-stakes (r=9),seasonal-naive,0.9,9,medium_48-168h,stable,1803,4544841.935710949
high-stakes (r=9),seasonal-naive,0.9,9,medium_48-168h,transition,696,4687650.769746447
high-stakes (r=9),①Chronos,0.9,9,overall,overall,12602,3516899.8395067416
high-stakes (r=9),①Chronos,0.9,9,overall,stable,9214,3408988.5674056304
high-stakes (r=9),①Chronos,0.9,9,overall,transition,3388,3810375.182228004
high-stakes (r=9),①Chronos,0.9,9,short_1-24h,overall,10103,3230548.4914927213
high-stakes (r=9),①Chronos,0.9,9,short_1-24h,stable,7411,3139039.1899764184
high-stakes (r=9),①Chronos,0.9,9,short_1-24h,transition,2692,3482471.015094995
high-stakes (r=9),①Chronos,0.9,9,medium_48-168h,overall,2499,4674565.973554619
high-stakes (r=9),①Chronos,0.9,9,medium_48-168h,stable,1803,4518580.822606902
high-stakes (r=9),①Chronos,0.9,9,medium_48-168h,transition,696,5078648.1964838365
high-stakes (r=9),②LightGBM,0.9,9,overall,overall,12602,3789765.7461672192
high-stakes (r=9),②LightGBM,0.9,9,overall,stable,9214,3619513.2910136203
high-stakes (r=9),②LightGBM,0.9,9,overall,transition,3388,4252784.081995218
high-stakes (r=9),②LightGBM,0.9,9,short_1-24h,overall,10103,3763383.49094317
high-stakes (r=9),②LightGBM,0.9,9,short_1-24h,stable,7411,3587800.591923608
high-stakes (r=9),②LightGBM,0.9,9,short_1-24h,transition,2692,4246758.254923102
high-stakes (r=9),②LightGBM,0.9,9,medium_48-168h,overall,2499,3896424.379431953
high-stakes (r=9),②LightGBM,0.9,9,medium_48-168h,stable,1803,3749864.2688040193
high-stakes (r=9),②LightGBM,0.9,9,medium_48-168h,transition,696,4276090.872912075
high-stakes (r=9),③LightGBM,0.9,9,overall,overall,12602,3820578.077891722
high-stakes (r=9),③LightGBM,0.9,9,overall,stable,9214,3676096.007670721
high-stakes (r=9),③LightGBM,0.9,9,overall,transition,3388,4213511.311367605
high-stakes (r=9),③LightGBM,0.9,9,short_1-24h,overall,10103,3798766.6287917164
high-stakes (r=9),③LightGBM,0.9,9,short_1-24h,stable,7411,3640836.179091988
high-stakes (r=9),③LightGBM,0.9,9,short_1-24h,transition,2692,4233544.698154528
high-stakes (r=9),③LightGBM,0.9,9,medium_48-168h,overall,2499,3908757.7778746537
high-stakes (r=9),③LightGBM,0.9,9,medium_48-168h,stable,1803,3821027.0057833064
high-stakes (r=9),③LightGBM,0.9,9,medium_48-168h,transition,696,4136025.855576809
high-stakes (r=9),②LSTM,0.9,9,overall,overall,12420,3841016.841755881
high-stakes (r=9),②LSTM,0.9,9,overall,stable,9032,3794464.739320646
high-stakes (r=9),②LSTM,0.9,9,overall,transition,3388,3965119.140809905
high-stakes (r=9),②LSTM,0.9,9,short_1-24h,overall,9936,3749045.1122502545
high-stakes (r=9),②LSTM,0.9,9,short_1-24h,stable,7244,3713173.5802506986
high-stakes (r=9),②LSTM,0.9,9,short_1-24h,transition,2692,3845573.112920676
high-stakes (r=9),②LSTM,0.9,9,medium_48-168h,overall,2484,4208903.759778388
high-stakes (r=9),②LSTM,0.9,9,medium_48-168h,stable,1788,4123812.1421745075
high-stakes (r=9),②LSTM,0.9,9,medium_48-168h,transition,696,4427501.191209048
high-stakes (r=9),③LSTM,0.9,9,overall,overall,12420,4451408.6311993925
high-stakes (r=9),③LSTM,0.9,9,overall,stable,9032,4395446.699050437
high-stakes (r=9),③LSTM,0.9,9,overall,transition,3388,4600596.403091177
high-stakes (r=9),③LSTM,0.9,9,short_1-24h,overall,9936,4370953.847616486
high-stakes (r=9),③LSTM,0.9,9,short_1-24h,stable,7244,4341105.142038483
high-stakes (r=9),③LSTM,0.9,9,short_1-24h,transition,2692,4451274.807203057
high-stakes (r=9),③LSTM,0.9,9,medium_48-168h,overall,2484,4773227.765531022
high-stakes (r=9),③LSTM,0.9,9,medium_48-168h,stable,1788,4615609.025110056
high-stakes (r=9),③LSTM,0.9,9,medium_48-168h,transition,696,5178144.874543505
high-stakes (r=9),②TFT-lite,0.9,9,overall,overall,12420,3721137.5597811257
high-stakes (r=9),②TFT-lite,0.9,9,overall,stable,9032,3574173.8321756925
high-stakes (r=9),②TFT-lite,0.9,9,overall,transition,3388,4112925.1594659756
high-stakes (r=9),②TFT-lite,0.9,9,short_1-24h,overall,9936,3613977.8586955485
high-stakes (r=9),②TFT-lite,0.9,9,short_1-24h,stable,7244,3476290.905451518
high-stakes (r=9),②TFT-lite,0.9,9,short_1-24h,transition,2692,3984484.6526404796
high-stakes (r=9),②TFT-lite,0.9,9,medium_48-168h,overall,2484,4149776.3641234334
high-stakes (r=9),②TFT-lite,0.9,9,medium_48-168h,stable,1788,3970742.0207606577
high-stakes (r=9),②TFT-lite,0.9,9,medium_48-168h,transition,696,4609709.418624359
high-stakes (r=9),③TFT-lite,0.9,9,overall,overall,12420,3766277.6826037955
high-stakes (r=9),③TFT-lite,0.9,9,overall,stable,9032,3631404.738409448
high-stakes (r=9),③TFT-lite,0.9,9,overall,transition,3388,4125832.7097476423
high-stakes (r=9),③TFT-lite,0.9,9,short_1-24h,overall,9936,3719661.377111673
high-stakes (r=9),③TFT-lite,0.9,9,short_1-24h,stable,7244,3589426.57774966
high-stakes (r=9),③TFT-lite,0.9,9,short_1-24h,transition,2692,4070114.9011006868
high-stakes (r=9),③TFT-lite,0.9,9,medium_48-168h,overall,2484,3952742.904572287
high-stakes (r=9),③TFT-lite,0.9,9,medium_48-168h,stable,1788,3801477.3311496624
high-stakes (r=9),③TFT-lite,0.9,9,medium_48-168h,transition,696,4341338.946640753
