horizon_bucket,,medium_48-168h,medium_48-168h,short_1-24h,short_1-24h
regime,,stable,transition,stable,transition
architecture,variant,,,,
Chronos-bolt (zero-shot),①zero-shot,0.8630496408283495,1.0347344690620583,0.6270904934848724,0.6296872709193214
LSTM,②power-only,0.9077029178773803,1.1189109788369473,0.6935272839470742,0.7155274648011142
LSTM,③+covariate,0.9606070367153228,1.1990352594546954,0.8202127059142793,0.9441192394309885
LightGBM,②power-only,0.8086496899225029,0.8971202839591338,0.6915339047751934,0.7141526270413777
LightGBM,③+covariate,0.7997852636717284,0.923274533499511,0.6759051416778843,0.7519372071783044
TFT-lite,②power-only,0.8875522500291373,1.1075675324658925,0.676980258125104,0.6847829230268362
TFT-lite,③+covariate,0.9028067436695428,1.1153057435922236,0.6850403299815434,0.6995806811433437
