model,info_level,horizon_bucket,regime,n,MAE,RMSE,MASE,pinball_avg,CRPS_approx,architecture,variant
chronos_bolt_small,1,overall,overall,17132,1579883.765704366,2322831.050488372,0.6535576340414504,574551.8561232066,1149103.712246413,Chronos-bolt (zero-shot),①zero-shot
chronos_bolt_small,1,short_1-24h,stable,13054,1473498.32505983,2153964.212621878,0.6095486895903366,531269.5966380278,1062539.1932760556,Chronos-bolt (zero-shot),①zero-shot
chronos_bolt_small,1,short_1-24h,transition,673,1033943.6304432602,1462579.620207377,0.4277161190674405,376962.4616549106,753924.9233098213,Chronos-bolt (zero-shot),①zero-shot
chronos_bolt_small,1,medium_48-168h,stable,3231,2119483.007910894,3033045.700016301,0.8767760832226348,790644.3914814006,1581288.7829628012,Chronos-bolt (zero-shot),①zero-shot
chronos_bolt_small,1,medium_48-168h,transition,174,1653033.7751020913,2018347.3367434528,0.6838179279376745,573340.9139068977,1146681.8278137953,Chronos-bolt (zero-shot),①zero-shot
lightgbm_info2,2,overall,overall,17132,1897204.2335688253,2617346.940658448,0.7848250213722913,658570.6928174731,1317141.3856349462,LightGBM,②power-only
lightgbm_info2,2,short_1-24h,stable,13054,1885103.4658006304,2580976.973747184,0.7798192422609774,650767.1995204323,1301534.3990408643,LightGBM,②power-only
lightgbm_info2,2,short_1-24h,transition,673,1178518.1129557667,1444226.36571442,0.4875228964929399,409453.0256346427,818906.0512692854,LightGBM,②power-only
lightgbm_info2,2,medium_48-168h,stable,3231,2118578.7022419963,2968216.244815748,0.8764019950230819,752453.3627347231,1504906.7254694465,LightGBM,②power-only
lightgbm_info2,2,medium_48-168h,transition,174,1474090.8619342984,1752740.8373550335,0.6097938069883163,464249.3423058842,928498.6846117683,LightGBM,②power-only
lightgbm_info3,3,overall,overall,17132,1862731.997761496,2539961.940082111,0.77056473630359,647574.3892184049,1295148.7784368098,LightGBM,③+covariate
lightgbm_info3,3,short_1-24h,stable,13054,1854125.3313435032,2502029.662749297,0.7670043778372067,638797.583110322,1277595.166220644,LightGBM,③+covariate
lightgbm_info3,3,short_1-24h,transition,673,1115782.1826376235,1394246.732465777,0.4615706416004194,421742.5384901086,843485.0769802172,LightGBM,③+covariate
lightgbm_info3,3,medium_48-168h,stable,3231,2076211.4564306324,2889963.0171821,0.8588757456024592,739750.3733695581,1479500.7467391165,LightGBM,③+covariate
lightgbm_info3,3,medium_48-168h,transition,174,1433401.641662997,1715821.7799090222,0.5929617139516192,467900.0080843835,935800.016168767,LightGBM,③+covariate
lstm_info2,2,overall,overall,16950,1793274.3052543355,2479876.507752678,0.7418318597677522,651684.9190185873,1303369.838037175,LSTM,②power-only
lstm_info2,2,short_1-24h,stable,12887,1713762.5826979617,2333808.3384279795,0.708939887332466,627528.9838800862,1255057.9677601724,LSTM,②power-only
lstm_info2,2,short_1-24h,transition,673,1351886.715290752,1658582.115366451,0.5592410671702683,476636.21676531626,953272.4335306324,LSTM,②power-only
lstm_info2,2,medium_48-168h,stable,3216,2208723.783631383,3129783.54586098,0.913692716905432,790147.6405214728,1580295.2810429456,LSTM,②power-only
lstm_info2,2,medium_48-168h,transition,174,1710721.9728917158,1997049.714329924,0.7076820645773045,558634.3465647693,1117268.6931295386,LSTM,②power-only
lstm_info3,3,overall,overall,16950,1816712.3430538052,2491100.4753012536,0.7515275784423258,651394.0519801448,1302788.1039602896,LSTM,③+covariate
lstm_info3,3,short_1-24h,stable,12887,1744105.1051237525,2352163.6439847164,0.7214918152640809,627465.6601593792,1254931.3203187585,LSTM,③+covariate
lstm_info3,3,short_1-24h,transition,673,1291318.3983263045,1568467.2339361387,0.5341854986579172,467519.6191833213,935039.2383666426,LSTM,③+covariate
lstm_info3,3,medium_48-168h,stable,3216,2226223.381766033,3133300.447888941,0.920931854493797,791039.4179668544,1582078.8359337088,LSTM,③+covariate
lstm_info3,3,medium_48-168h,transition,174,1657471.535626626,1941810.9765801,0.685653716324021,553768.6591824993,1107537.3183649986,LSTM,③+covariate
tft_info2,2,overall,overall,16950,1793270.2878460868,2515670.1497207987,0.7418301978683852,637875.3356310724,1275750.6712621448,TFT-lite,②power-only
tft_info2,2,short_1-24h,stable,12887,1708251.6970713949,2361172.472015892,0.7066601744512047,607261.3795607802,1214522.7591215605,TFT-lite,②power-only
tft_info2,2,short_1-24h,transition,673,1201700.038554419,1558285.1248969038,0.4971126680797284,448278.2378485796,896556.4756971592,TFT-lite,②power-only
tft_info2,2,medium_48-168h,stable,3216,2266897.470104452,3210338.0445444626,0.9377576878356558,803878.5892480556,1607757.1784961112,TFT-lite,②power-only
tft_info2,2,medium_48-168h,transition,174,1624168.7875233677,1923474.82765394,0.6718772185018915,570372.0888107019,1140744.1776214037,TFT-lite,②power-only
tft_info3,3,overall,overall,16950,1793565.9086941185,2500828.643678555,0.7419524886762324,640561.262577434,1281122.525154868,TFT-lite,③+covariate
tft_info3,3,short_1-24h,stable,12887,1702886.2764524329,2330892.6104459744,0.7044406367348951,609141.1744953275,1218282.348990655,TFT-lite,③+covariate
tft_info3,3,short_1-24h,transition,673,1264851.67022154,1580180.3727938866,0.5232368880218328,455358.5175801978,910717.0351603955,TFT-lite,③+covariate
tft_info3,3,medium_48-168h,stable,3216,2274388.360434418,3234006.3489142843,0.940856478181624,809623.173621051,1619246.347242102,TFT-lite,③+covariate
tft_info3,3,medium_48-168h,transition,174,1667635.4396931992,1970964.7196582905,0.6898582643031644,559233.7716634867,1118467.5433269734,TFT-lite,③+covariate
