horizon_bucket,,medium_48-168h,medium_48-168h,short_1-24h,short_1-24h
regime,,stable,transition,stable,transition
architecture,variant,,,,
Chronos-bolt (zero-shot),①zero-shot,0.8767760832226348,0.6838179279376745,0.6095486895903366,0.4277161190674405
LSTM,②power-only,0.913692716905432,0.7076820645773045,0.708939887332466,0.5592410671702683
LSTM,③+covariate,0.920931854493797,0.685653716324021,0.7214918152640809,0.5341854986579172
LightGBM,②power-only,0.8764019950230819,0.6097938069883163,0.7798192422609774,0.4875228964929399
LightGBM,③+covariate,0.8588757456024592,0.5929617139516192,0.7670043778372067,0.4615706416004194
TFT-lite,②power-only,0.9377576878356558,0.6718772185018915,0.7066601744512047,0.4971126680797284
TFT-lite,③+covariate,0.940856478181624,0.6898582643031644,0.7044406367348951,0.5232368880218328
