horizon_bucket,regime,n,covariate,power/calendar,target_time_calendar
overall,overall,12602,19.05211311905507,61.29435365955441,16.40977579523365
overall,stable,9214,19.635838887146065,61.69585642055549,15.544746668324446
overall,transition,3388,17.564659214134934,60.27124163960651,18.614048799830847
short_1-24h,overall,10103,19.077544606910575,62.058158021530716,16.163229998444425
short_1-24h,stable,7411,19.59896434463379,62.40751108333264,15.373689728230516
short_1-24h,transition,2692,17.729683709393594,61.155086470218244,18.2041777805194
medium_48-168h,overall,2499,18.946718578035142,58.12895450489688,17.431524158547145
medium_48-168h,stable,1803,19.79187477086885,58.68446545414725,16.268579941797388
medium_48-168h,transition,696,16.915374532005153,56.79377661845118,20.22667590752617
